"","X","wed_ID","plg_ID","wed_UitPloeg","wed_ThuisPloeg","FTA","FTM","FG2A","FG2M","FG3M","FG3A","OR","DR","TO","Minuten","plg_Name","plg_ShortName","opp_wed_ID","opp_plg_ID","opp_wed_UitPloeg","opp_wed_ThuisPloeg","opp_FTA","opp_FTM","opp_FG2A","opp_FG2M","opp_FG3M","opp_FG3A","opp_OR","opp_DR","opp_TO","opp_Minuten","opp_plg_Name","opp_plg_ShortName","FTtrips","opp_FTtrips","pts","opp_pts","Win","Loss","plays","opp_plays","ps","opp_ps","avgps","WARNING","pace","Ortg","Drtg","Nrtg","Home","EFGpct","ORpct","TOpct","FT4f","opp_EFGpct","opp_ORpct","opp_TOpct","opp_FT4f","FG2Apct","FG3Apct","FTTpct","FG2pct","FG3pct","FTpct"
"79",79,736171,3107,3808,3107,15,15,55,24,3,12,12,31,11,200,"BS Leiden","BS Leide",736171,3808,3808,3107,18,10,40,17,7,23,11,26,19,200,"BV Leeuwarden","BV Leeuw",6.9,8.28,72,65,TRUE,FALSE,84.9,90.28,71.3842105263158,79.3507142857143,75,TRUE,75.3674624060151,96,86.6666666666667,9.33333333333333,TRUE,0.425373134328358,0.315789473684211,0.146666666666667,0.223880597014925,0.436507936507937,0.261904761904762,0.253333333333333,0.158730158730159,0.74424898511502,0.162381596752368,0.0933694181326116,0.436363636363636,0.25,1
"80",80,736171,3808,3808,3107,18,10,40,17,7,23,11,26,19,200,"BV Leeuwarden","BV Leeuw",736171,3107,3808,3107,15,15,55,24,3,12,12,31,11,200,"BS Leiden","BS Leide",8.28,6.9,65,72,FALSE,TRUE,90.28,84.9,79.3507142857143,71.3842105263158,75,TRUE,75.3674624060151,86.6666666666667,96,-9.33333333333333,FALSE,0.436507936507937,0.261904761904762,0.253333333333333,0.158730158730159,0.425373134328358,0.315789473684211,0.146666666666667,0.223880597014925,0.561167227833894,0.322671156004489,0.116161616161616,0.425,0.304347826086957,0.555555555555556
"81",81,736172,8594,10757,8594,20,17,33,22,10,34,17,33,16,200,"Donar","Donar",736172,10757,10757,8594,13,9,44,19,6,24,12,18,13,200,"BC APOLLO Amsterdam","BC APOLL",9.2,5.98,91,65,TRUE,FALSE,92.2,86.98,74.01,74.7106666666667,74,FALSE,74.3603333333333,122.972972972973,87.8378378378378,35.1351351351351,TRUE,0.552238805970149,0.485714285714286,0.216216216216216,0.253731343283582,0.411764705882353,0.266666666666667,0.175675675675676,0.132352941176471,0.433070866141732,0.446194225721785,0.120734908136483,0.666666666666667,0.294117647058824,0.85
"82",82,736172,10757,10757,8594,13,9,44,19,6,24,12,18,13,200,"BC APOLLO Amsterdam","BC APOLL",736172,8594,10757,8594,20,17,33,22,10,34,17,33,16,200,"Donar","Donar",5.98,9.2,65,91,FALSE,TRUE,86.98,92.2,74.7106666666667,74.01,74,FALSE,74.3603333333333,87.8378378378378,122.972972972973,-35.1351351351351,FALSE,0.411764705882353,0.266666666666667,0.175675675675676,0.132352941176471,0.552238805970149,0.485714285714286,0.216216216216216,0.253731343283582,0.594755339280887,0.32441200324412,0.0808326574749932,0.431818181818182,0.25,0.692307692307692
"83",83,736173,3103,3103,11480,12,8,34,17,11,29,4,20,10,200,"Rotterdam Basketbal","Rotterda",736173,11480,3103,11480,15,12,39,21,9,24,13,30,13,200,"New Heroes","New Hero",5.52,6.9,75,81,FALSE,TRUE,78.52,82.9,74.1141176470588,68.99,72,TRUE,71.5520588235294,104.166666666667,112.5,-8.33333333333333,FALSE,0.531746031746032,0.117647058823529,0.138888888888889,0.126984126984127,0.547619047619048,0.393939393939394,0.180555555555556,0.19047619047619,0.49620548744892,0.423234092235844,0.0805604203152364,0.5,0.379310344827586,0.666666666666667
"84",84,736173,11480,3103,11480,15,12,39,21,9,24,13,30,13,200,"New Heroes","New Hero",736173,3103,3103,11480,12,8,34,17,11,29,4,20,10,200,"Rotterdam Basketbal","Rotterda",6.9,5.52,81,75,TRUE,FALSE,82.9,78.52,68.99,74.1141176470588,72,TRUE,71.5520588235294,112.5,104.166666666667,8.33333333333333,TRUE,0.547619047619048,0.393939393939394,0.180555555555556,0.19047619047619,0.531746031746032,0.117647058823529,0.138888888888889,0.126984126984127,0.55793991416309,0.343347639484979,0.0987124463519313,0.538461538461538,0.375,0.8
"85",85,736174,2571,3107,2571,19,14,33,12,5,19,12,30,20,200,"Basketball Stars Weert","Basketba",736174,3107,3107,2571,16,14,43,19,7,23,13,24,12,200,"BS Leiden","BS Leide",8.74,7.36,53,73,FALSE,TRUE,80.74,85.36,68.2566666666667,72.4204651162791,70,TRUE,70.3385658914729,75.7142857142857,104.285714285714,-28.5714285714286,TRUE,0.375,0.333333333333333,0.285714285714286,0.269230769230769,0.446969696969697,0.302325581395349,0.171428571428571,0.212121212121212,0.543299308528153,0.312808692788936,0.143891998682911,0.363636363636364,0.263157894736842,0.736842105263158
"86",86,736174,3107,3107,2571,16,14,43,19,7,23,13,24,12,200,"BS Leiden","BS Leide",736174,2571,3107,2571,19,14,33,12,5,19,12,30,20,200,"Basketball Stars Weert","Basketba",7.36,8.74,73,53,TRUE,FALSE,85.36,80.74,72.4204651162791,68.2566666666667,70,TRUE,70.3385658914729,104.285714285714,75.7142857142857,28.5714285714286,FALSE,0.446969696969697,0.302325581395349,0.171428571428571,0.212121212121212,0.375,0.333333333333333,0.285714285714286,0.269230769230769,0.586150490730643,0.313522355507088,0.100327153762268,0.441860465116279,0.304347826086957,0.875
"87",87,736175,1771,1771,3808,13,7,47,28,8,20,8,25,11,200,"Landstede Basketbal","Landsted",736175,3808,1771,3808,23,18,35,16,10,24,11,24,13,200,"BV Leeuwarden","BV Leeuw",5.98,10.58,87,80,TRUE,FALSE,83.98,82.58,75.6875,71.7908333333333,74,FALSE,73.7391666666667,117.567567567568,108.108108108108,9.45945945945945,FALSE,0.597014925373134,0.25,0.148648648648649,0.104477611940299,0.525423728813559,0.305555555555556,0.175675675675676,0.305084745762712,0.644012058098109,0.274047684297068,0.0819402576048232,0.595744680851064,0.4,0.538461538461538
"88",88,736175,3808,1771,3808,23,18,35,16,10,24,11,24,13,200,"BV Leeuwarden","BV Leeuw",736175,1771,1771,3808,13,7,47,28,8,20,8,25,11,200,"Landstede Basketbal","Landsted",10.58,5.98,80,87,FALSE,TRUE,82.58,83.98,71.7908333333333,75.6875,74,FALSE,73.7391666666667,108.108108108108,117.567567567568,-9.45945945945945,TRUE,0.525423728813559,0.305555555555556,0.175675675675676,0.305084745762712,0.597014925373134,0.25,0.148648648648649,0.104477611940299,0.503018108651911,0.344926703075596,0.152055188272492,0.457142857142857,0.416666666666667,0.782608695652174
