"";"wed_ID";"plg_ID";"wed_UitPloeg";"wed_ThuisPloeg";"FTA";"FTM";"FG2A";"FG2M";"FG3M";"FG3A";"OR";"DR";"TO";"Minuten";"plg_Name";"plg_ShortName";"opp_wed_ID";"opp_plg_ID";"opp_wed_UitPloeg";"opp_wed_ThuisPloeg";"opp_FTA";"opp_FTM";"opp_FG2A";"opp_FG2M";"opp_FG3M";"opp_FG3A";"opp_OR";"opp_DR";"opp_TO";"opp_Minuten";"opp_plg_Name";"opp_plg_ShortName";"FTtrips";"opp_FTtrips";"pts";"opp_pts";"Win";"Loss";"plays";"opp_plays";"ps";"opp_ps";"avgps";"WARNING";"pace";"Ortg";"Drtg";"Home";"Nrtg";"EFGpct";"ORpct";"TOpct";"FT4f";"opp_EFGpct";"opp_ORpct";"opp_TOpct";"opp_FT4f";"FG2Apct";"FG3Apct";"FTTpct";"FG2pct";"FG3pct";"FTpct"
"34";643405;8594;3107;8594;16;10;41;24;6;20;6;26;7;200;"GasTerra Flames";"GasTerra";643405;3107;3107;8594;32;25;32;14;3;17;8;27;16;200;"BS Leiden";"BS Leide";7,36;14,72;76;62;TRUE;FALSE;75,36;79,72;69,3290909090909;71,6635294117647;70;FALSE;70,4963101604278;108,571428571429;88,5714285714286;TRUE;20;0,540983606557377;0,181818181818182;0,1;0,163934426229508;0,377551020408163;0,235294117647059;0,228571428571429;0,510204081632653;0,599765944997074;0,292568753657109;0,107665301345816;0,585365853658537;0,3;0,625
"35";643416;8594;11480;8594;33;26;27;12;3;13;16;29;23;200;"GasTerra Flames";"GasTerra";643416;11480;11480;8594;9;6;41;11;8;20;14;21;14;200;"Dukes Unlimited";"Dukes Un";15,18;4,14;59;52;TRUE;FALSE;78,18;79,14;66,6124324324324;64,5083720930233;66;FALSE;65,5604022627278;89,3939393939394;78,7878787878788;TRUE;10,6060606060606;0,4125;0,432432432432432;0,348484848484849;0,65;0,377049180327869;0,325581395348837;0,212121212121212;0,0983606557377049;0,489307720188474;0,235592606016673;0,275099673794853;0,444444444444444;0,230769230769231;0,787878787878788
"36";643416;11480;11480;8594;9;6;41;11;8;20;14;21;14;200;"Dukes Unlimited";"Dukes Un";643416;8594;11480;8594;33;26;27;12;3;13;16;29;23;200;"GasTerra Flames";"GasTerra";4,14;15,18;52;59;FALSE;TRUE;79,14;78,18;64,5083720930233;66,6124324324324;66;FALSE;65,5604022627278;78,7878787878788;89,3939393939394;FALSE;-10,6060606060606;0,377049180327869;0,325581395348837;0,212121212121212;0,0983606557377049;0,4125;0,432432432432432;0,348484848484849;0,65;0,629413570770648;0,307031010132023;0,0635554190973288;0,268292682926829;0,4;0,666666666666667
"37";643417;8594;8594;11480;16;11;31;16;8;15;8;16;16;200;"GasTerra Flames";"GasTerra";643417;11480;8594;11480;24;18;32;19;7;21;11;19;13;200;"Dukes Unlimited";"Dukes Un";7,36;11,04;67;77;FALSE;TRUE;69,36;77,04;62,3851851851852;65,27;64;FALSE;63,8275925925926;104,6875;120,3125;FALSE;-15,625;0,608695652173913;0,296296296296296;0,25;0,239130434782609;0,556603773584906;0,407407407407407;0,203125;0,339622641509434;0,58095952023988;0,281109445277361;0,137931034482759;0,516129032258065;0,533333333333333;0,6875
"38";643417;11480;8594;11480;24;18;32;19;7;21;11;19;13;200;"Dukes Unlimited";"Dukes Un";643417;8594;8594;11480;16;11;31;16;8;15;8;16;16;200;"GasTerra Flames";"GasTerra";11,04;7,36;77;67;TRUE;FALSE;77,04;69,36;65,27;62,3851851851852;64;FALSE;63,8275925925926;120,3125;104,6875;TRUE;15,625;0,556603773584906;0,407407407407407;0,203125;0,339622641509434;0,608695652173913;0,296296296296296;0,25;0,239130434782609;0,499687695190506;0,32792004996877;0,172392254840725;0,59375;0,333333333333333;0,75
"39";643418;8594;11480;8594;34;26;30;18;10;18;11;17;15;200;"GasTerra Flames";"GasTerra";643418;11480;11480;8594;20;18;38;26;5;17;6;12;11;200;"Dukes Unlimited";"Dukes Un";15,64;9,2;92;85;TRUE;FALSE;78,64;75,2;68,4052173913043;68,5008695652174;68;FALSE;68,4530434782609;135,294117647059;125;TRUE;10,2941176470588;0,6875;0,478260869565217;0,220588235294118;0,541666666666667;0,609090909090909;0,260869565217391;0,161764705882353;0,327272727272727;0,471401634192332;0,282840980515399;0,245757385292269;0,6;0,555555555555556;0,764705882352941
"40";643418;11480;11480;8594;20;18;38;26;5;17;6;12;11;200;"Dukes Unlimited";"Dukes Un";643418;8594;11480;8594;34;26;30;18;10;18;11;17;15;200;"GasTerra Flames";"GasTerra";9,2;15,64;85;92;FALSE;TRUE;75,2;78,64;68,5008695652174;68,4052173913043;68;FALSE;68,4530434782609;125;135,294117647059;FALSE;-10,2941176470588;0,609090909090909;0,260869565217391;0,161764705882353;0,327272727272727;0,6875;0,478260869565217;0,220588235294118;0,541666666666667;0,59190031152648;0,264797507788162;0,143302180685358;0,684210526315789;0,294117647058824;0,9
"41";643455;8594;8594;11480;24;18;33;17;3;16;7;20;11;200;"GasTerra Flames";"GasTerra";643455;11480;8594;11480;17;13;43;19;8;21;17;23;7;200;"Dukes Unlimited";"Dukes Un";11,04;7,82;61;75;FALSE;TRUE;71,04;78,82;63,7996666666667;60,63;62;FALSE;62,2148333333333;98,3870967741936;120,967741935484;FALSE;-22,5806451612903;0,438775510204082;0,233333333333333;0,17741935483871;0,36734693877551;0,484375;0,459459459459459;0,112903225806452;0,203125;0,549633577614923;0,266489007328448;0,183877415056629;0,515151515151515;0,1875;0,75
"42";643455;11480;8594;11480;17;13;43;19;8;21;17;23;7;200;"Dukes Unlimited";"Dukes Un";643455;8594;8594;11480;24;18;33;17;3;16;7;20;11;200;"GasTerra Flames";"GasTerra";7,82;11,04;75;61;TRUE;FALSE;78,82;71,04;60,63;63,7996666666667;62;FALSE;62,2148333333333;120,967741935484;98,3870967741936;TRUE;22,5806451612903;0,484375;0,459459459459459;0,112903225806452;0,203125;0,438775510204082;0,233333333333333;0,17741935483871;0,36734693877551;0,598719019771651;0,292397660818713;0,108883319409635;0,441860465116279;0,380952380952381;0,764705882352941
"43";643456;8594;11480;8594;37;26;31;14;5;20;13;26;13;200;"GasTerra Flames";"GasTerra";643456;11480;11480;8594;11;9;28;14;10;29;9;26;14;200;"Dukes Unlimited";"Dukes Un";17,02;5,06;69;67;TRUE;FALSE;81,02;76,06;69,6066666666667;66,9802857142857;68;FALSE;68,2934761904762;101,470588235294;98,5294117647059;TRUE;2,94117647058823;0,42156862745098;0,333333333333333;0,191176470588235;0,509803921568627;0,508771929824561;0,257142857142857;0,205882352941176;0,157894736842105;0,455748309320788;0,294031167303734;0,250220523375478;0,451612903225806;0,25;0,702702702702703
