"","X","wed_ID","plg_ID","wed_UitPloeg","wed_ThuisPloeg","FTA","FTM","FG2A","FG2M","FG3M","FG3A","OR","DR","TO","Minuten","plg_Name","plg_ShortName","opp_wed_ID","opp_plg_ID","opp_wed_UitPloeg","opp_wed_ThuisPloeg","opp_FTA","opp_FTM","opp_FG2A","opp_FG2M","opp_FG3M","opp_FG3A","opp_OR","opp_DR","opp_TO","opp_Minuten","opp_plg_Name","opp_plg_ShortName","FTtrips","opp_FTtrips","pts","opp_pts","Win","Loss","plays","opp_plays","ps","opp_ps","avgps","WARNING","pace","Ortg","Drtg","Nrtg","Home","EFGpct","ORpct","TOpct","FT4f","opp_EFGpct","opp_ORpct","opp_TOpct","opp_FT4f","FG2Apct","FG3Apct","FTTpct","FG2pct","FG3pct","FTpct"
"223",223,591198,2571,3103,2571,31,19,59,26,4,6,10,33,8,200,"Basketball Stars Weert","Basketba",591198,3103,3103,2571,14,12,47,26,5,19,7,28,9,200,"Rotterdam Basketbal","Rotterda",14.26,6.44,83,79,TRUE,FALSE,87.26,81.44,77.4047368421053,74.88625,76,FALSE,76.1454934210526,109.210526315789,103.947368421053,5.26315789473685,TRUE,0.492307692307692,0.263157894736842,0.105263157894737,0.292307692307692,0.507575757575758,0.175,0.118421052631579,0.181818181818182,0.744385566490033,0.0757002271006813,0.179914206409286,0.440677966101695,0.666666666666667,0.612903225806452
"224",224,591198,3103,3103,2571,14,12,47,26,5,19,7,28,9,200,"Rotterdam Basketbal","Rotterda",591198,2571,3103,2571,31,19,59,26,4,6,10,33,8,200,"Basketball Stars Weert","Basketba",6.44,14.26,79,83,FALSE,TRUE,81.44,87.26,74.88625,77.4047368421053,76,FALSE,76.1454934210526,103.947368421053,109.210526315789,-5.26315789473685,FALSE,0.507575757575758,0.175,0.118421052631579,0.181818181818182,0.492307692307692,0.263157894736842,0.105263157894737,0.292307692307692,0.648812810601877,0.26228602981778,0.0889011595803424,0.553191489361702,0.263157894736842,0.857142857142857
"225",225,591199,3107,3107,10757,26,13,40,22,4,19,15,22,14,200,"BS Leiden","BS Leide",591199,10757,3107,10757,11,11,28,14,11,30,7,25,12,200,"BC APOLLO A'dam","BC APOLL",11.96,5.06,69,72,FALSE,TRUE,84.96,75.06,71.71875,66.5368965517241,69,TRUE,69.1278232758621,100,104.347826086957,-4.34782608695652,FALSE,0.474576271186441,0.375,0.202898550724638,0.220338983050847,0.525862068965517,0.241379310344828,0.173913043478261,0.189655172413793,0.56369785794814,0.267756482525366,0.168545659526494,0.55,0.210526315789474,0.5
"226",226,591199,10757,3107,10757,11,11,28,14,11,30,7,25,12,200,"BC APOLLO A'dam","BC APOLL",591199,3107,3107,10757,26,13,40,22,4,19,15,22,14,200,"BS Leiden","BS Leide",5.06,11.96,72,69,TRUE,FALSE,75.06,84.96,66.5368965517241,71.71875,69,TRUE,69.1278232758621,104.347826086957,100,4.34782608695652,TRUE,0.525862068965517,0.241379310344828,0.173913043478261,0.189655172413793,0.474576271186441,0.375,0.202898550724638,0.220338983050847,0.444021566761814,0.475737392959087,0.0802410402790993,0.5,0.366666666666667,1
"227",227,591200,3138,8594,3138,27,20,37,17,10,25,20,31,24,200,"BV Aris","BV Aris",591200,8594,8594,3138,12,8,42,21,8,21,9,24,15,200,"GasTerra Flames","GasTerra",12.42,5.52,84,74,TRUE,FALSE,98.42,83.52,81.3972727272727,75.3345,78,TRUE,78.3658863636364,107.692307692308,94.8717948717949,12.8205128205128,TRUE,0.516129032258065,0.454545454545455,0.307692307692308,0.32258064516129,0.523809523809524,0.225,0.192307692307692,0.126984126984127,0.497178177909164,0.335931201289976,0.16689062080086,0.459459459459459,0.4,0.740740740740741
"228",228,591200,8594,8594,3138,12,8,42,21,8,21,9,24,15,200,"GasTerra Flames","GasTerra",591200,3138,8594,3138,27,20,37,17,10,25,20,31,24,200,"BV Aris","BV Aris",5.52,12.42,74,84,FALSE,TRUE,83.52,98.42,75.3345,81.3972727272727,78,TRUE,78.3658863636364,94.8717948717949,107.692307692308,-12.8205128205128,FALSE,0.523809523809524,0.225,0.192307692307692,0.126984126984127,0.516129032258065,0.454545454545455,0.307692307692308,0.32258064516129,0.612959719789842,0.306479859894921,0.0805604203152364,0.5,0.380952380952381,0.666666666666667
"229",229,591201,1771,1771,2393,21,15,40,22,7,17,8,24,10,200,"Landstede Basketbal","Landsted",591201,2393,1771,2393,13,12,40,17,6,17,10,23,18,200,"Matrixx Magixx","Matrixx ",9.66,5.98,80,64,TRUE,FALSE,76.66,80.98,68.9283870967742,70.28,70,FALSE,69.6041935483871,114.285714285714,91.4285714285714,22.8571428571429,FALSE,0.570175438596491,0.258064516129032,0.142857142857143,0.263157894736842,0.456140350877193,0.294117647058824,0.257142857142857,0.210526315789474,0.6000600060006,0.255025502550255,0.144914491449145,0.55,0.411764705882353,0.714285714285714
"230",230,591201,2393,1771,2393,13,12,40,17,6,17,10,23,18,200,"Matrixx Magixx","Matrixx ",591201,1771,1771,2393,21,15,40,22,7,17,8,24,10,200,"Landstede Basketbal","Landsted",5.98,9.66,64,80,FALSE,TRUE,80.98,76.66,70.28,68.9283870967742,70,FALSE,69.6041935483871,91.4285714285714,114.285714285714,-22.8571428571429,TRUE,0.456140350877193,0.294117647058824,0.257142857142857,0.210526315789474,0.570175438596491,0.258064516129032,0.142857142857143,0.263157894736842,0.635122261035249,0.269926960939981,0.0949507780247698,0.425,0.352941176470588,0.923076923076923
"231",231,591202,2823,2823,8594,29,24,48,22,5,15,8,30,10,200,"EBBC","EBBC",591202,8594,2823,8594,8,2,46,23,9,27,13,30,11,200,"GasTerra Flames","GasTerra",13.34,3.68,83,75,TRUE,FALSE,86.34,87.68,78.2305263157895,74.4169767441861,76,FALSE,76.3237515299878,109.210526315789,98.6842105263158,10.5263157894737,FALSE,0.468253968253968,0.210526315789474,0.131578947368421,0.380952380952381,0.5,0.302325581395349,0.144736842105263,0.0273972602739726,0.628766046633482,0.196489389572963,0.174744563793555,0.458333333333333,0.333333333333333,0.827586206896552
"232",232,591202,8594,2823,8594,8,2,46,23,9,27,13,30,11,200,"GasTerra Flames","GasTerra",591202,2823,2823,8594,29,24,48,22,5,15,8,30,10,200,"EBBC","EBBC",3.68,13.34,75,83,FALSE,TRUE,87.68,86.34,74.4169767441861,78.2305263157895,76,FALSE,76.3237515299878,98.6842105263158,109.210526315789,-10.5263157894737,TRUE,0.5,0.302325581395349,0.144736842105263,0.0273972602739726,0.468253968253968,0.210526315789474,0.131578947368421,0.380952380952381,0.599895670318205,0.352112676056338,0.0479916536254564,0.5,0.333333333333333,0.25
"233",233,591203,1771,3520,1771,25,20,38,18,9,22,15,36,15,200,"Landstede Basketbal","Landsted",591203,3520,3520,1771,16,14,48,22,6,21,10,23,11,200,"Den Helder Kings Noordkop","Den Held",11.5,7.36,83,76,TRUE,FALSE,86.5,87.36,72.5618421052632,77.8230434782609,75,TRUE,75.192442791762,110.666666666667,101.333333333333,9.33333333333334,TRUE,0.525,0.394736842105263,0.2,0.333333333333333,0.449275362318841,0.217391304347826,0.146666666666667,0.202898550724638,0.531468531468531,0.307692307692308,0.160839160839161,0.473684210526316,0.409090909090909,0.8
"234",234,591203,3520,3520,1771,16,14,48,22,6,21,10,23,11,200,"Den Helder Kings Noordkop","Den Held",591203,1771,3520,1771,25,20,38,18,9,22,15,36,15,200,"Landstede Basketbal","Landsted",7.36,11.5,76,83,FALSE,TRUE,87.36,86.5,77.8230434782609,72.5618421052632,75,TRUE,75.192442791762,101.333333333333,110.666666666667,-9.33333333333334,FALSE,0.449275362318841,0.217391304347826,0.146666666666667,0.202898550724638,0.525,0.394736842105263,0.2,0.333333333333333,0.628601361969618,0.275013095861708,0.0963855421686747,0.458333333333333,0.285714285714286,0.875
